source,target,x1,x2,y1,y2,dist
15956,17866,-88.977183,-88.9768199,42.2485263,42.2485344,29.97927307
14440,7484,-88.9792652,-88.9786079,42.242334,42.24231,54.36817047
15795,1209,-88.9751017,-88.9730394,42.2261574,42.2262722,171.914051
7484,13631,-88.9786079,-88.9773042,42.24231,42.2421295,109.6725625
13631,5872,-88.9773042,-88.9771697,42.2421295,42.2421212,11.13930215
769,6721,-89.0399853,-89.0399801,42.3244151,42.3242556,17.72237801
5746,18190,-88.9661187,-88.9660181,42.2388277,42.238935,14.5259519
11601,17817,-89.1316845,-89.1316886,42.2122291,42.212744,57.19476114
2064,408,-89.0044852,-89.0045573,42.2849063,42.2875845,297.5507923
15913,12734,-89.0779442,-89.0785776,42.2795853,42.2793262,59.64990789
7793,19202,-89.0469269,-89.0484494,42.3150914,42.3149728,134.0493044
19202,5257,-89.0484494,-89.048543,42.3149728,42.3150661,12.97487516
18322,18950,-89.0153186,-89.0158749,42.3244566,42.3248344,63.0583195
12453,19202,-89.0485963,-89.0484494,42.3149808,42.3149728,12.18791437
10723,13740,-88.9668141,-88.9699949,42.3226996,42.3227993,263.2436185
789,7273,-89.0184218,-89.0173165,42.2934971,42.2937719,96.12786735
18702,15020,-89.0248429,-89.024856,42.2635716,42.2642866,79.42841835
6115,14238,-88.989511,-88.989479,42.2413,42.242116,90.67810371
10315,10315,-89.0362702,-89.0362702,42.3437706,42.3437706,104.8140025
7313,7752,-89.004566,-89.004652,42.173379,42.1755427,240.4416145
15620,4813,-89.0426127,-89.0427576,42.3280816,42.3280781,11.94953797
5257,14821,-89.048543,-89.0488471,42.3150661,42.3154254,75.87418287
15302,12453,-89.0488429,-89.0485963,42.3149506,42.3149808,20.88892667
10239,15676,-89.0271225,-89.0273234,42.2858952,42.2858896,16.58167753
11799,11201,-89.030493,-89.0302945,42.3402035,42.3402057,16.35981165
5670,6294,-89.0229223,-89.0237457,42.2441426,42.2436919,84.40736535
11751,254,-89.0443249,-89.0445828,42.3172383,42.3172294,21.28372729
14443,13381,-89.0518842,-89.0508219,42.3506157,42.3502843,94.9538535
4061,11749,-88.9986126,-88.9988667,42.2557967,42.256204,49.86484136
16214,13781,-88.9876499,-88.9876513,42.3194658,42.3187873,75.36761434
15505,2810,-88.95321,-88.9532008,42.3196678,42.3193596,34.24309877
2810,876,-88.9532008,-88.9531888,42.3193596,42.3192157,16.01491904
17250,13163,-89.038159,-89.0380478,42.3253712,42.3253733,9.168889844
18215,5342,-88.9520806,-88.9519623,42.3236371,42.3236049,10.3867007
1055,12272,-89.0407603,-89.039964,42.3237949,42.3238027,65.64425783
11236,16562,-89.0438477,-89.0430927,42.3197637,42.3197727,62.24620587
6648,845,-89.0438445,-89.0430899,42.3195983,42.3196133,62.22767416
5696,12499,-88.9819934,-88.9821288,42.3234278,42.3234244,11.16739614
15375,17147,-89.0405596,-89.040566,42.3180519,42.3182407,20.97843843
5407,16239,-89.0055069,-89.0038699,42.2071047,42.2071022,149.9642675
13058,19231,-89.0561869,-89.0561991,42.3200467,42.3203023,28.40972764
5966,17510,-89.0763111,-89.0750614,42.3508064,42.3517308,148.1033809
5342,17087,-88.9519623,-88.9501067,42.3236049,42.3234236,156.2603569
11785,12884,-89.0177426,-89.0170451,42.2691801,42.2691461,57.66803276
19549,11134,-88.996699,-88.9966981,42.296747,42.2968665,13.274154
11079,4847,-88.9523305,-88.9523326,42.3255877,42.3257439,17.35149871
15058,3137,-88.9420383,-88.9419596,42.2374215,42.2374217,6.496098934
4847,4051,-88.9523326,-88.9523383,42.3257439,42.3259102,18.47851381
12288,3681,-89.0436101,-89.0427394,42.3511669,42.3512741,72.72165537
11239,6367,-88.9617433,-88.9612242,42.3441648,42.344276,44.52300092
